16:36:04 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:36:05 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:36:05 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_6] 
16:36:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:36:06 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_6] 
16:36:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:36:08 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_6] 
16:36:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:36:10 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_6] 
16:36:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:36:25 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_6] 
